PDFファイル,ページ番号,図番号,x0,y0,x1,y1
whitepaper2023_all.pdf,9,【第111-1-1】,37.29970169067383,64.42608642578125,47.29970169067383,77.45809173583984
whitepaper2023_all.pdf,9,【第111-2-1】,107.38629913330078,512.6466064453125,117.38629913330078,525.6785888671875
whitepaper2023_all.pdf,9,【第111-2-2】,302.976806640625,64.42608642578125,312.976806640625,77.45809173583984
whitepaper2023_all.pdf,10,【第111-2-3】,40.29869842529297,64.42608642578125,50.29869842529297,77.45809173583984
whitepaper2023_all.pdf,11,【第111-3-1】,302.976806640625,374.1741027832031,312.976806640625,387.20611572265625
whitepaper2023_all.pdf,11,【第111-3-2】,37.29970169067383,594.851318359375,47.29970169067383,607.88330078125
whitepaper2023_all.pdf,12,【第111-4-3】,40.29869842529297,400.4261169433594,50.29869842529297,413.4581298828125
whitepaper2023_all.pdf,12,【第111-4-4】,305.97589111328125,64.42608642578125,315.97589111328125,88.4560775756836
whitepaper2023_all.pdf,12,【第111-4-5】,305.97589111328125,232.42608642578125,315.97589111328125,256.4560852050781
whitepaper2023_all.pdf,12,【第111-4-1】,40.29869842529297,64.42608642578125,50.29869842529297,77.45809173583984
whitepaper2023_all.pdf,12,【第111-4-2】,40.29869842529297,274.42608642578125,50.29869842529297,298.4560852050781
whitepaper2023_all.pdf,13,【第111-6-1】,302.976806640625,64.42608642578125,312.976806640625,88.4560775756836
whitepaper2023_all.pdf,14,【第111-7-2】,305.97589111328125,64.42608642578125,315.97589111328125,88.4560775756836
whitepaper2023_all.pdf,14,【第111-7-1】,40.29869842529297,64.42608642578125,50.29869842529297,77.45809173583984
whitepaper2023_all.pdf,18,【第112-4-1】,40.29869842529297,64.42608642578125,50.29869842529297,77.45809173583984
whitepaper2023_all.pdf,22,【第114-2-1】,53.69240188598633,64.42608642578125,63.69240188598633,77.45809173583984
whitepaper2023_all.pdf,25,【第121-1-1】,50.69340133666992,504.67413330078125,60.69340133666992,517.7061157226562
whitepaper2023_all.pdf,26,【第121-1-2】,40.29869842529297,64.42608642578125,50.29869842529297,88.4560775756836
whitepaper2023_all.pdf,26,【第121-1-3】,305.97589111328125,64.42608642578125,315.97589111328125,88.4560775756836
whitepaper2023_all.pdf,27,【第121-1-4】,50.69340133666992,64.42608642578125,60.69340133666992,77.45809173583984
whitepaper2023_all.pdf,28,【第121-1-5】,40.29869842529297,64.42608642578125,50.29869842529297,88.4560775756836
whitepaper2023_all.pdf,29,【第121-2-1】,37.29970169067383,64.42608642578125,47.29970169067383,88.4560775756836
whitepaper2023_all.pdf,29,【第121-2-2】,302.976806640625,64.42608642578125,312.976806640625,88.4560775756836
whitepaper2023_all.pdf,30,【第121-2-4】,293.13739013671875,601.6152954101562,303.13739013671875,614.6472778320312
whitepaper2023_all.pdf,30,【第121-2-3】,40.29869842529297,64.42608642578125,50.29869842529297,88.4560775756836
whitepaper2023_all.pdf,31,【第121-2-5】,52.11069869995117,204.42608642578125,62.11069869995117,217.4580841064453
whitepaper2023_all.pdf,31,【第121-2-6】,290.1383972167969,512.4260864257812,300.1383972167969,525.4580688476562
whitepaper2023_all.pdf,32,【第121-2-7】,293.13739013671875,64.42608642578125,303.13739013671875,77.45809173583984
whitepaper2023_all.pdf,32,【第121-2-8】,293.13739013671875,246.42608642578125,303.13739013671875,259.4580993652344
whitepaper2023_all.pdf,32,【第121-2-9】,67.8656997680664,484.4261169433594,77.8656997680664,497.4581298828125
whitepaper2023_all.pdf,33,【第121-2-10】,52.11069869995117,232.42608642578125,63.11069869995117,245.4580841064453
whitepaper2023_all.pdf,34,【第121-3-1】,40.29869842529297,64.42608642578125,50.29869842529297,77.45809173583984
whitepaper2023_all.pdf,34,【第121-3-2】,40.29869842529297,232.42608642578125,50.29869842529297,245.4580841064453
whitepaper2023_all.pdf,34,【第121-3-3】,305.97589111328125,64.42608642578125,315.97589111328125,77.45809173583984
whitepaper2023_all.pdf,34,【第121-3-4】,305.97589111328125,232.42608642578125,315.97589111328125,245.4580841064453
whitepaper2023_all.pdf,35,【第121-3-6】,37.29970169067383,316.42608642578125,47.29970169067383,329.4580993652344
whitepaper2023_all.pdf,35,【第121-3-7】,302.9768981933594,64.42608642578125,312.9768981933594,77.45809173583984
whitepaper2023_all.pdf,35,【第121-3-5】,37.29970169067383,64.42608642578125,47.29970169067383,77.45809173583984
whitepaper2023_all.pdf,36,【第121-3-8】,40.29869842529297,64.42608642578125,50.29869842529297,77.45809173583984
whitepaper2023_all.pdf,36,【第121-3-10】,305.97589111328125,64.42608642578125,316.97589111328125,88.4560775756836
whitepaper2023_all.pdf,36,【第121-3-9】,53.69240188598633,518.31591796875,63.69240188598633,531.347900390625
whitepaper2023_all.pdf,37,【第121-4-1】,302.976806640625,64.42608642578125,312.976806640625,77.45809173583984
whitepaper2023_all.pdf,37,【第121-3-11】,37.29970169067383,64.42608642578125,48.29970169067383,88.4560775756836
whitepaper2023_all.pdf,38,【第121-4-2】,40.29869842529297,64.42608642578125,50.29869842529297,88.4560775756836
whitepaper2023_all.pdf,40,【第122-1-1】,40.29869842529297,64.42608642578125,50.29869842529297,77.45809173583984
whitepaper2023_all.pdf,40,【第122-1-2】,40.29869842529297,232.42608642578125,50.29869842529297,256.4560852050781
whitepaper2023_all.pdf,41,【第122-1-3】,52.11069869995117,265.614990234375,62.11069869995117,278.6470031738281
whitepaper2023_all.pdf,41,【第122-1-4】,290.1383972167969,531.6150512695312,300.1383972167969,555.6449584960938
