PDFファイル,ページ番号,図番号,x0,y0,x1,y1
sample1.pdf,1,【図 1-1】,84.95994567871094,339.4860534667969,91.95994567871094,351.6526794433594
sample1.pdf,2,【図 1-2】,84.95994567871094,1124.7660522460938,91.95994567871094,1136.9326782226562
sample1.pdf,3,【図 1-3】,84.95994567871094,1853.166015625,91.95994567871094,1865.3326568603516
sample1.pdf,4,【図 1-4】,84.95994567871094,2865.2460021972656,91.95994567871094,2877.412628173828
sample1.pdf,4,【図 1-5】,84.95994567871094,3095.166015625,91.95994567871094,3107.3327026367188
sample1.pdf,5,【図 1-6】,84.95994567871094,3736.2059936523438,91.95994567871094,3748.3726196289062
sample1.pdf,6,【図 1-7】,84.95994567871094,4397.885971069336,91.95994567871094,4410.0526123046875
sample1.pdf,7,【図 1-8】,84.95994567871094,5438.765960693359,91.95994567871094,5450.932586669922
sample2.pdf,1,【図 2-1】,84.95994567871094,259.93072509765625,91.95994567871094,271.0393981933594
sample2.pdf,2,【図 2-2】,84.95994567871094,1110.9707336425781,91.95994567871094,1122.0794067382812
sample2.pdf,3,【図 2-3】,84.95994567871094,2035.6907043457031,91.95994567871094,2046.7993774414062
sample2.pdf,4,【図 2-4】,84.95994567871094,2836.0906677246094,91.95994567871094,2847.1993408203125
sample3.pdf,1,【図 3-1】,84.95994567871094,120.54840087890625,91.95994567871094,132.18606567382812
sample3.pdf,1,【図 3-2】,460.5259094238281,300.54840087890625,467.5259094238281,312.1860656738281
sample3.pdf,1,【図 3-3】,272.7429504394531,462.54840087890625,279.7429504394531,474.1860656738281
sample4.pdf,1,【図 4-1】,84.95994567871094,246.54840087890625,91.95994567871094,258.1860656738281
sample4.pdf,1,【図 4-2】,84.95994567871094,732.5484008789062,91.95994567871094,744.18603515625
sample4.pdf,2,【図 4-3】,460.5259094238281,1142.4683837890625,467.5259094238281,1154.1060485839844
sample4.pdf,2,【図 4-4】,460.5259094238281,1574.4683837890625,467.5259094238281,1586.1060180664062
